id,time(utc timestamp),amount(usd),price,side
0.0,1617354000424000.0,2000.0,60904.6785,asks
1.0,1617354000424000.0,13700.0,60905.1786,asks
2.0,1617354000424000.0,4180.0,60909.1794,asks
3.0,1617354000424000.0,6000.0,60909.6795,asks
4.0,1617354000424000.0,193180.0,60916.1808,asks
5.0,1617354000424000.0,100000.0,60925.6827,asks
6.0,1617354000424000.0,2540.0,60930.6837,asks
7.0,1617354000424000.0,8000.0,60950.6877,asks
8.0,1617354000424000.0,1810.0,60954.1884,asks
9.0,1617354000424000.0,289770.0,60960.6897,asks
10.0,1617354001788000.0,2000.0,60904.6785,asks
11.0,1617354001788000.0,4180.0,60909.1794,asks
12.0,1617354001788000.0,6000.0,60909.6795,asks
13.0,1617354001788000.0,193180.0,60916.1808,asks
14.0,1617354001788000.0,100000.0,60925.6827,asks
15.0,1617354001788000.0,2540.0,60930.6837,asks
16.0,1617354001788000.0,8000.0,60950.6877,asks
17.0,1617354001788000.0,1810.0,60954.1884,asks
18.0,1617354001788000.0,289770.0,60960.6897,asks
19.0,1617354001788000.0,2740.0,60965.6907,asks
20.0,1617354002821000.0,2000.0,60904.6785,asks
21.0,1617354002821000.0,13700.0,60905.1786,asks
22.0,1617354002821000.0,4180.0,60909.1794,asks
23.0,1617354002821000.0,6000.0,60909.6795,asks
24.0,1617354002821000.0,193180.0,60916.1808,asks
25.0,1617354002821000.0,100000.0,60925.6827,asks
26.0,1617354002821000.0,2540.0,60930.6837,asks
27.0,1617354002821000.0,8000.0,60950.6877,asks
28.0,1617354002821000.0,1810.0,60954.1884,asks
29.0,1617354002821000.0,289770.0,60960.6897,asks
30.0,1617354003888000.0,2000.0,60904.6785,asks
31.0,1617354003888000.0,13700.0,60905.1786,asks
32.0,1617354003888000.0,6000.0,60909.6795,asks
33.0,1617354003888000.0,193180.0,60916.1808,asks
34.0,1617354003888000.0,100000.0,60925.6827,asks
35.0,1617354003888000.0,2540.0,60930.6837,asks
36.0,1617354003888000.0,8000.0,60950.6877,asks
37.0,1617354003888000.0,1810.0,60954.1884,asks
38.0,1617354003888000.0,289770.0,60960.6897,asks
39.0,1617354003888000.0,2740.0,60965.6907,asks
40.0,1617354005057000.0,2000.0,60904.6785,asks
41.0,1617354005057000.0,2300.0,60906.1788,asks
42.0,1617354005057000.0,6000.0,60909.6795,asks
43.0,1617354005057000.0,100000.0,60925.6827,asks
44.0,1617354005057000.0,2540.0,60930.6837,asks
45.0,1617354005057000.0,8000.0,60932.184,asks
46.0,1617354005057000.0,1810.0,60954.1884,asks
47.0,1617354005057000.0,2740.0,60965.6907,asks
48.0,1617354005057000.0,16000.0,61008.6993,asks
49.0,1617354005057000.0,30000.0,61013.2002,asks
50.0,1617354006084000.0,4180.0,60865.6707,asks
51.0,1617354006084000.0,167170.0,60866.1708,asks
52.0,1617354006084000.0,2000.0,60891.1758,asks
53.0,1617354006084000.0,6000.0,60896.6769,asks
54.0,1617354006084000.0,2300.0,60906.1788,asks
55.0,1617354006084000.0,250760.0,60909.6795,asks
56.0,1617354006084000.0,100000.0,60925.6827,asks
57.0,1617354006084000.0,2540.0,60930.6837,asks
58.0,1617354006084000.0,8000.0,60932.184,asks
59.0,1617354006084000.0,297200.0,60953.1882,asks
60.0,1617354007280000.0,4470.0,60865.6707,asks
61.0,1617354007280000.0,180870.0,60866.1708,asks
